President;George Washington;(1732-1799);30 april 1789;4 maart 1797;2;;;;;
FirstLady;Martha Dandridge;(1731-1802);;;;;;;;
PresidentialPet;Sweetlips;dog;;;;;;;;
PresidentialPet;Scentwell;dog;;;;;;;;
PresidentialPet;Vulcan;dog;;;;;;;;
PresidentialPet;Royal Gift;donkey;;;;;;;;
PresidentialPet;Nelson;horse;;;;;;;;
PresidentialPet;Cornwallis;dog;;;;;;;;
PresidentialPet;Samson;horse;;;;;;;;
PresidentialPet;Steady;horse;;;;;;;;
PresidentialPet;Leonidas;horse;;;;;;;;
PresidentialPet;Traveller;horse;;;;;;;;
PresidentialPet;Magnolia;horse;;;;;;;;
FirstLady;"Elizabeth Virginia (Bess) Wallace";(1885-1982);;;;;;;;
President;Dwight David Eisenhower;(1890-1969);20 januari 1953;20 januari 1961;2;;;;;
FirstLady;Mamie Geneva Doud;(1896-1979);;;;;;;;
President;John Fitzgerald Kennedy;(1917-1963);20 januari 1961;22 november 1963;0;;;;;
FirstLady;"Jacqueline ""Jackie"" Lee Bouvier";(1929-1994);;;;;;;;
PresidentialPet;Gaullie;dog;;;;;;;;
PresidentialPet;Charlie;dog;;;;;;;;
PresidentialPet;Tom Kitten;cat;;;;;;;;
PresidentialPet;Robin;canary;;;;;;;;
PresidentialPet;Bluebell;parakeet;;;;;;;;
PresidentialPet;Marybelle;parakeet;;;;;;;;
PresidentialPet;Macaroni;pony;;;;;;;;
PresidentialPet;Moe;dog;;;;;;;;
PresidentialPet;Debbie;hamster;;;;;;;;
PresidentialPet;Billie;hamster;;;;;;;;
PresidentialPet;Pushinka;dog;;;;;;;;
PresidentialPet;Shannon;dog;;;;;;;;
PresidentialPet;Wolf;dog;;;;;;;;
PresidentialPet;Clipper;dog;;;;;;;;
PresidentialPet;Zsa Zsa;rabbit;;;;;;;;
PresidentialPet;Sardar;horse;;;;;;;;
President;Lyndon Baines Johnson;(1908-1973);22 november 1963;20 januari 1969;2;;;;;
FirstLady;"Claudia Alta ""Lady Bird"" Taylor";(1912-2007);;;;;;;;
President;Richard Milhous Nixon;(1913-1994);20 januari 1969;9 augustus 1974;1;;;;;
FirstLady;"Thelma ""Pat"" Catherine Ryan";(1912-1993);;;;;;;;
President;Gerald Rudolph Ford;(1913-2006);9 augustus 1974;20 januari 1977;1;;;;;
FirstLady;"Elizabeth ""Betty"" Ann Bloomer";(1918-2011);;;;;;;;
President;James Earl (Jimmy) Carter;(1924-...);20 januari 1977;20 januari 1981;1;;;;;
FirstLady;Eleanor Rosalynn Smith;(1927-...);;;;;;;;
